TEXTBODY,Category
Check #110588 mailed 4/8/20 for these invoices,Paid by Customer
"Jeannette, This is an update of your below concern. Attached is a summary of the status of your invoices. Identified in the attachment you will see our analysis of your account (go to ""AP Comments"" column under ""Statement"" tab for detailed information). Missing/Rejected Invoice- submit/resubmit via your usual submission method (EDI or email it to documentsubmission@daimler.com). follow the instructions provided on the attached spreadsheet for resolution. NOTE: For Missing Documents with ERS POs, coordinate with the plant or requester to have the goods receipts keyed in for these invoices. Once a goods receipt has been keyed in, an ERS document will be generated within 24-48 hours and this should pay according to your payment terms which is based on the goods receipt date. Paid - If your concern is with regard to receipt of a remittance advice but no payment received, we ask that you contact APPayments@Daimler.com to further assist you in investigating the matter. Current Invoice (not yet due) - Is on queue to be processed and should pay according to its payment terms. check the web portal for its status. Paid xx/xx/xx $0.00-This was fully debited due to no goods receipt keyed. To dispute, follow the instruction provided on the copy sent via fax/email address indicated in the excel file. you for your patience and have a great day!",Other
"Nancy, see my notes below and this week's payment schedule; Invoice# Amount Balance Create Date Due Date DPD PO# SO# 833049304 $ 180 PAID 2/13 CK 244309, SEE ATTACHED $ 180 12/6/2019 2/4/2020 69 73721 8330493 019017200 $ 1,017.22 PAID 4/9 CK 244894 $ 1,017.22 1/27/2020 2/26/2020 47 TARIFF DATE 01/2020 0190172 836714403 $ 8,375 DELAYED BILLING FOR 30 DAYS $ 8,375 1/6/2020 3/6/2020 38 73856 8367144 029505400 $ 1,054.2 SCHEDULED TO BE paid 4/16 $ 1,054.2 2/24/2020 3/25/2020 19 TARIFF DATE 02/2020 0295054 019379001 $ 247.9 PAID 4/9 CK 244894 $ 247.9 1/27/2020 3/27/2020 17 75405 0193790 790439510 $ 470.54 PAID 4/9 CK 244894 $ 470.54 1/27/2020 3/27/2020 17 72757 7904395 810406503 $ 146.3 PAID 4/9 CK 244894 $ 146.3 1/28/2020 3/28/2020 16 73184 8104065 T.T.I. INC. 13306702 02-03-2020 131.00 T.T.I. INC. 871760502 02-03-2020 130.00 T.T.I. INC. 1000201 02-04-2020 1,903.00 T.T.I. INC. 13232903 02-04-2020 2,065.00 T.T.I. INC. 13233002 02-04-2020 906.30 T.T.I. INC. 818476802 02-04-2020 160.00 T.T.I. INC. 822321004 02-04-2020 216.00 T.T.I. INC. 823601107 02-04-2020 750.00 T.T.I. INC. 878876902 02-04-2020 2,500.00 T.T.I. INC. 882457102 02-04-2020 167.58 T.T.I. INC. 13306703 02-05-2020 3,480.00 T.T.I. INC. 13306801 02-05-2020 344.00 T.T.I. INC. 13320402 02-05-2020 1,466.00 T.T.I. INC. 13580501 02-05-2020 180.00 T.T.I. INC. 16520901 02-05-2020 1,890.00 T.T.I. INC. 20817401 02-05-2020 147.00 T.T.I. INC. 839218305 02-05-2020 261.60 T.T.I. INC. 851660401 02-05-2020 778.00 T.T.I. INC. 865743803 02-05-2020 178.00 T.T.I. INC. 871758803 02-05-2020 447.00 T.T.I. INC. 875321702 02-05-2020 595.00 T.T.I. INC. 875326802 02-05-2020 175.76 T.T.I. INC. 797303907 02-06-2020 226.92 T.T.I. INC. 807168110 02-06-2020 465.69 T.T.I. INC. 846739704 02-06-2020 833.00 T.T.I. INC. 847262804 02-06-2020 145.50 T.T.I. INC. 849717404 02-06-2020 246.80 T.T.I. INC. 861276001 02-06-2020 495.00 T.T.I. INC. 13233003 02-07-2020 1,925.15 T.T.I. INC. 727204204 02-07-2020 1,915.90 T.T.I. INC. 836376102 02-07-2020 245.70 T.T.I. INC. 836714403 02-07-2020 8,375.00 T.T.I. INC. 837634704 02-07-2020 150.00 T.T.I. INC. 874605702 02-07-2020 100.00 33,995.90 Scheduled to be paid 416/2020 Have a great week! Dianne York Accounts Payable Clerk Beckwith Electric Co., Inc. 6190 - 118th Ave. N., Largo, FL 33773 Direct: (727) 545-7636 dyork@beckwithelectric.com<mailto:dyork@beckwithelectric.com> https://urldefense.proofpoint.com/v2/url?u=http-3A__www.BeckwithElectric.com&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=vLH45qcxUucaAklBnEYpfcFiaK91iB-JvckRFWCtyTI&s=abqOp_yT0Fcu6uAoGrWTsCsWdHbw9Rvrkuibn6Jwmwg&e= <https://urldefense.proofpoint.com/v2/url?u=http-3A__www.beckwithelectric.com_&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=vLH45qcxUucaAklBnEYpfcFiaK91iB-JvckRFWCtyTI&s=JngHOwSO_aGd3b0Q8j2zk4Woj87XBuR0WiIjB4OifLg&e= > ",Paid by Customer
"Could you send me a copy of invoice 032989901?  Also can we have all invoices sent to: ap@willoughby-ind.com<mailto:ap@willoughby-ind.com> you,",Invoice Copy
"A check was mailed yesterday in the Amount of $24,663.52 Mike Killingsworth Controller office: 662-665-3000 fax: 662-286-9262 mkillingsworth@keytronic.com<mailto:mkillingsworth@keytronic.com> [Keytronic Logo]<https://urldefense.proofpoint.com/v2/url?u=http-3A__www.keytronic.com&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=4mB3848K7zU8wlaT5FOEYdsd1GxV7kVPxUu_EGU_2QQ&s=l1Pv57Y_7qcSXNeAy3SOSeWuZvlqDwwL6gl3NayJINY&e= > 1801 S. Fulton Dr. Corinth, MS. 38834 keytronic.com<https://urldefense.proofpoint.com/v2/url?u=http-3A__www.keytronic.com&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=4mB3848K7zU8wlaT5FOEYdsd1GxV7kVPxUu_EGU_2QQ&s=l1Pv57Y_7qcSXNeAy3SOSeWuZvlqDwwL6gl3NayJINY&e= >",Paid by Customer
"Requestor, you for contacting the Accounts Payable helpdesk. Invoice  PO   Amount   AP Comments 864624201      393.60  Invoice scheduled for payment on Jul-27-2020 via ACH E8357563-03-168  4414182692   423.00  Invoice scheduled for payment on Apr-27-2020 via Check E8214839-01-857  4414027987   423.00  Invoice scheduled for payment on Apr-27-2020 via Check E8786038-01-365  4414664070   36.05  Invoice scheduled for payment on Apr-27-2020 via Check E8655174-01-286  4414506452   675.06  Invoice scheduled for payment on Apr-27-2020 via Check E8617240-01-232  4414465822   122.32  Invoice scheduled for payment on Apr-27-2020 via Check E8369633-02-231  4414196994   423.00  Invoice scheduled for payment on Apr-27-2020 via Check E8277183-01-230  4414096348   423.00  Invoice scheduled for payment on Apr-27-2020 via Check Should you have any further questions, feel free to contact us.",Promised
"see attached images and document.  A check was returned not sure why, will reissue check today for the one that was returned.   The others should be on their way.  The address matches the invoice for remit to address.",Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
" This invoice is scheduled to be paid today, the funds should be in your account by Friday. you.   Connect with us!  <https://urldefense.proofpoint.com/v2/url?u=https-3A__www.youtube.com_user_CampbellSciCanada&d=DwIF-g&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=sZ5me4Azu6GKu1blnueSwrGApc1a_IqQm6t9VMWkwpc&s=kgHPMzFco2CRiMTQb2k5vsA68dKgSQOeQYbakuiLcwc&e= >",Promised
"Need copy of invoice# 882515002 Cathy Hollborn General Accountant RFI Specialty Components, EMS  Ultra Maritime 95 Horseblock Road Unit 2 Yaphank, NY 11980 T: 1+631.345.6200  ext 238 F : 1+631.345.6216 ultra.group<https://urldefense.proofpoint.com/v2/url?u=http-3A__www.ultra.group_&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=6vMvl0KwNhAKkW8ati-RdoMys0iCddXcFOn_1BrTGko&s=Y8XQcwDOmsbAk-ymWw0GGON-8S2zYn2IpAYyIVhLvjA&e= >",Invoice Copy
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"[https://urldefense.proofpoint.com/v2/url?u=http-3A__www.te.com_content_dam_te-2Dcom_images_corporate_marketing_global_brand-2Dresources_2018-5Ftelogo.gif-5DDear&d=DwIF-g&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=1-WavJaoz9u1milDqTcxr2JRYDimLMQC4TTJb39eE0w&s=o29v66oOv10LzSd2I4a2QE_8QGH7TTWG1nGQ2lHBPz8&e=  Supplier, This is to confirm that we have received your E-Mail accordingly. We will verify the content of this e-mail, and if a proper invoice was attached and all relevant information is matching to TEs Purchasing Document, a release for payment will be made within the agreed terms. To ensure automated and fast invoice processing in TEs systems, the following requirements must be met: Invoice requirements: o   print the correct Bill-to address on your invoice  see table below o   A valid and matching TE Purchasing Document Number must be mentioned on all Invoice documents submitted (for nonPO: TE Requester) o   send each invoice only once. Multiple submission of the same invoice will create payment delays o   Once you have started to apply the invoice submission by E-Mail, stop sending hard copy invoices by postal mail or any other method Mail requirements: o   Choose the corresponding E-Mail Address depending on the ordering TE Entity  see table below o   The total size of the E-Mail cannot exceed 7 MB o   The correct E-Mail Address for your Invoice is mentioned as well on the Purchasing Document (PO) PDF requirements: o   Readable PDFs are preferred and in your interest as TEs OCR provides better results which accelerates the process o   Each E-Mail message can contain multiple PDF files o   Each PDF file can only include one invoice. If one PDF file includes more than one invoice, it will not be accepted for processing o   The first PDF page must always be the Invoice, not e.g. T&Cs, packing list, shipping instruction form, delivery note. Best way to include such documents is to scan them behind the original invoice o   Make sure that your PDF invoice does not contain an empty page, this stops the scanning process Payment status  Vendor self-service: o   Check your payment status in TEs Supplier Portal (https://urldefense.proofpoint.com/v2/url?u=https-3A__supplier.te.com&d=DwIF-g&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=1-WavJaoz9u1milDqTcxr2JRYDimLMQC4TTJb39eE0w&s=PILhmvD5hQgJep7ol_UWo-FkRyvmH_yeAm6fa3qRjjg&e= <https://urldefense.proofpoint.com/v2/url?u=https-3A__supplier.te.com_&d=DwIF-g&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=1-WavJaoz9u1milDqTcxr2JRYDimLMQC4TTJb39eE0w&s=PycPaRjGent0oih7TGRQBNy6jlsFLa0QzrfAjV_Qo2A&e= >) - Check Invoice Status application o   For other payment related questions find below in column Support the Service E-Mail and Phone Number to contact TEs AP department The PDF/E-Mail process is TEs preferred way to receive invoices. Find below additional TE locations offering this Service. If you provide goods and service for another TE entity listed below and you can fulfil the above invoicing requirements, send us your invoice by E-Mail in PDF format. Invoice To NAME & ADDRESS Country E-Mail Address for PDF Invoice Support: Accounts Payable Department Service E-Mail Address Support: Accounts Payable Department Service Phone VAT/TAX ID Number TE Connectivity Belgium Siemenslaan 14 8020 OOSTKAMP BELGIUM Belgium invoice.1068@te.com apdepartment.be@te.com +32 16 351 080 BE0465547738 TYCO ELECTRONICS CANADA ULC 20 ESNA PARK DRIVE MARKHAM ONTARIO L3R 1E1 CANADA Canada invoice.0392@te.com<mailto:invoice.0392@te.com> apdepartment.us@te.com<mailto:apdepartment.us@te.com> +1 717 986 7653 100194992RT0001 Tyco Electronics Czech s.r.o. K AMP 1293 66434 Kurim CZECH REPUBLIC Czech Republic invoice.0413@te.com apdepartment.cz@te.com +420 541 162 303 CZ48910791 Tyco Electronics EC Trutnov S.r.o. Komenskho 821 54101 Trutnov CZECH REPUBLIC Czech Republic invoice.1104@te.com apdepartment.cz@te.com +420 541 162 303 CZ47455403 TYCO ELECTRONICS FRANCE SAS 1 rue Ampre 95300 PONTOISE FRANCE France invoice.0425@te.com apdepartment.fr@te.com +33 1 3420 8993 FR94628200222 TYCO ELECTRONICS SIMEL 1 RUE PAUL MARTIN 21220 GEVREY-CHAMBERTIN FRANCE France invoice.0436@te.com apdepartment.fr@te.com +33 1 3420 8993 FR38017050410 TE (IDENTO) SAINT EGREVE,  1 RUE DU PORT, 38120 SAINT EGREVE, SAINT EGREVE GRENOBLE FRANCE France Invoice.1178@te.com apdepartment.fr@te.com +33 1 3420 8993 FR74414833939 COMPAGNIE DEUTSCH DISTRIBUTION SAS A TE Connectivity Company AEROPARC SAINT - MARTIN 12 RUE DE CAULET 31027 TOULOUSE CEDEX 3 FRANCE France invoice.3012@te.com apdepartment.fr@te.com +33 1 3420 8993 FR90444638035 CONNECTEURS ELECTRIQUES DEUTSCH 17 RUE DE LAVOISIER 27091 EVREUX CEDEX FRANCE France invoice.3014@te.com apdepartment.fr@te.com +33 1 3420 8993 FR40389470303 CARRIER KHEOPS BAC ZAC DU MONNE 72705 ALLONNES CEDEX FRANCE France invoice.3015@te.com apdepartment.fr@te.com +33 1 3420 8993 FR16552033565 TE Connectivity Sensors Germany GmbH Hauert 13 44227 Dortmund GERMANY Germany invoice.2343@te.com<mailto:invoice.2343@te.com> apdepartment.de@te.com<mailto:apdepartment.de@te.com> +49 89 60 89 688 DE124727383 TE Connectivity Germany GmbH Accounts Payable  FSSC Pfnorstrae 1 64293 Darmstadt GERMANY Germany invoice.0406@te.com apdepartment.de@te.com +49 89 60 89 688 DE113529821 Tyco Electronics Raychem GmbH Finsinger Feld 1 85521 Ottobrunn GERMANY Germany invoice.0973@te.com apdepartment.de@te.com +49 89 60 89 688 DE129446185 TE Connectivity India Pvt Limited Gut No 1122,1129,1140,1295,1296 Village Shirwal, Taluka Khandala District Satara - 412801, Maharashtra, India India Invoice.0464@te.com<mailto:Invoice.0464@te.com> apdepartment.in@te.com<mailto:apdepartment.in@te.com> +91 80 399722200 ext. 22722 27AABCT7374C1ZB TE Connectivity India Pvt Limited Survey No. 166/3, GUT No. 95, Kesnand Village, Wagholi-Rahu Road, 412207 PUNE INDIA India Invoice.0464@te.com<mailto:Invoice.0464@te.com> apdepartment.in@te.com<mailto:apdepartment.in@te.com> +91 80 399722200 ext.   22722 27AABCT7374C1ZB TE Connectivity India Pvt Limited No.22 B, TE Park, Phase, 2, Whitefield Main Rd, Doddanakundi Industrial Area 2, EPIP Zone, Bengaluru,560048 Karnataka India India Invoice.0464@te.com<mailto:Invoice.0464@te.com> apdepartment.in@te.com<mailto:apdepartment.in@te.com> +91 80 399722200 ext. 22722 TE Connectivity Ireland Limited International Science Centre Block 1 National Technology Park (UL Campus)V94 C61W , Castletroy IRELAND Ireland invoice.2428@te.com<mailto:invoice.2428@te.com> apdepartment.uk@te.com<mailto:apdepartment.uk@te.com> +44 179 357 2442 IE3385090JH TYCO ELECTRONICS IRELAND LIMITED 2ND Floor Suite no.208 National Software Centre, NSC campus Mahon Cork, Cork IRELAND Ireland invoice.0434@te.com apdepartment.uk@te.com +44 179 357 2442 IE4607470H TE Connectivity Ireland Limited Unit B Block 1 Shannon Business Park Shannon Co. Clare V14 FP57 IRELAND Ireland invoice.2428@te.com apdepartment.uk@te.com +44 179 357 2442 IE3385090JH TE Connectivity Italia S.r.l. Corso Fratelli Cervi 15 10093 Collegno (TO) ITALY Italy Accounts.Payable@te.com apdepartment.it@te.com +39 011 4031023 IT11910920013 TE Connectivity Italia S.r.l. S.U. Zona Industriale 66050 San Salvo (CH) ITALY Italy Accounts.Payable@te.com apdepartment.it@te.com +39 0873 545201 IT11910920013 TE Connectivity Italia Distribution S.r.l. Corso Fratelli Cervi 15 10093 Collegno (TO) ITALY Italy Accounts.Payable@te.com apdepartment.it@te.com +39 0873 545201 IT00482680014 TE Connectivity Nederland BV Rietveldenweg 32 5222 AR s-HERTOGENBOSCH NETHERLANDS Netherlands invoice.0407@te.com apdepartment.nl@te.com +31 73 62 46 333 NL001518215B01 Wema Systems AS Lnningsflaten 21 5258, Blomsterdalen NORWAY Norway invoice.2351@te.com<mailto:invoice.2351@te.com> apdepartment.nordics@te.com<mailto:apdepartment.nordics@te.com> NO942897375 TE Connectivity Poland Services Sp.z.o.o. Wielicka 28 B 30-552 Krakow NIP: 5213816780 POLAND Poland invoice.2464@te.com<mailto:invoice.2464@te.com> apdepartment.pl@te.com<mailto:apdepartment.pl@te.com> +48224179400 PL5213816780 TYCO ELECTRONICS COMPONENTES ELECTROMECANICOS, LDA ESTRADA DE ALMEIRIM, APARTADO 55 EVORA, 7006-801 PORTUGAL Portugal invoice.1069@te.com<mailto:invoice.1069@te.com> evoraaccountspayable@te.com<mailto:evoraaccountspayable@te.com> PT501486429 TE Connectivity Sensors Solutions Srl Room 108, 1st Floor DJ691 KM 7+142 , Dumbravita, Timis ROMANIA Romania invoice.2460@te.com<mailto:invoice.2460@te.com> apdepartment.ro@te.com<mailto:apdepartment.ro@te.com> RO38546892 TE Connectivity Spain, S.L.U. Tordera, 6 - Pol. Ind. Pla d'en Coll 08110 Montcada i Reixac (Barcelona) SPAIN Spain invoice.0439@te.com apdepartment.es@te.com<mailto:apdepartment.es@te.com> +34 932910606 B08185068 Jaquet Technology Group AG Kunimattweg 14 4133 Pratteln SWITZERLAND Switzerland invoice.2437@te.com<mailto:invoice.2437@te.com> apdepartment.ch@te.com<mailto:apdepartment.ch@te.com> +41 714 470 999 CHE-116.347.444 TE CONNECTIVITY SOLUTIONS GmbH Amprestrasse 3 9323 STEINACH SWITZERLAND Switzerland invoice.1151@te.com apdepartment.ch@te.com +41 714 470 999 Tyco Electronics UK Ltd Finance Service Centre Faraday Road, Dorcan, SwindonSN3 5HH UNITED KINGDOM United   Kingdom invoice.0433@te.com apdepartment.uk@te.com +44 179 357 2442 GB681471425 Tyco Electronics Corp PO Box 68355 Harrisburg, PA  17106-8355 MS 38-55 USA United States invoice.0048@te.com apdepartment.us@te.com +1 717 986 7653 23-0332575 Howard/Macro Sensor PO A TE Connectivity Company Box 68355 Harrisburg, PA  17106-8356 USA United States invoice.2317@te.com<mailto:invoice.2317@te.com> apdepartment.us@te.com<mailto:apdepartment.us@te.com> +1 717 986 7653 22-3341130 AST (American Sensor Technologies) A TE Connectivity Company PO Box 68355 Harrisburg, PA  17106-8356 USA United States invoice.2318@te.com<mailto:invoice.2318@te.com> apdepartment.us@te.com<mailto:apdepartment.us@te.com> +1 717 986 7653 22-3486135 Measurement Specialties PO Box 68355 Harrisburg, PA  17106-8355 USA United States invoice.2328@te.com<mailto:invoice.2328@te.com> apdepartment.us@te.com<mailto:apdepartment.us@te.com> +1 717 986 7653 22-2378738 WEMA AMERICAS LLC A TE Connectivity Company PO Box 68355 Harrisburg, PA  17106-8356 USA United States invoice.2331@te.com<mailto:invoice.2331@te.com> apdepartment.us@te.com<mailto:apdepartment.us@te.com> +1 717 986 7653 22-2378738 Ladd Distribution PO BOX 68355 M/S 038-53 HARRISBURG, PA 17106-8355 USA United States invoice.3022@te.com<mailto:invoice.3022@te.com> apdepartment.us@te.com<mailto:apdepartment.us@te.com> +1 717 986 7653 23-0332575",Other
"Supplier you so much for your report, All invoices mentioned by you appear in our system once that our company resumes operations The invoices will be considered for payment. you very much for understanding the situation we are going through.",Promised
 We are planning on processing checks on Thursday. I am waiting for my management to give me the file to process.,Promised
Yes,Other
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Jeanny, Can we pay credit card on these invoices? you",Promised
" Vigor Works AP has received your email. Regards, Accounts Payable 503.653.6300 Credit Card is now Vigor's preferred method of payment! Sign up today with our payment partner at vendorenrollment@comdata.com<https://urldefense.proofpoint.com/v2/url?u=https-3A__helpdesk.vigor.local_CSIssue-5FView.asp-3FIssueNbr-3D113167-23&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=gtLlmDBQXa4xF0IhqgkxoqZHrXMJCRsUyuC2OiNGW_Q&s=0kEDuucMbi6jOScBWJe5tR6gGZ2kjdBt3BkfFOx6IJk&e= > or (800) 398-7117",Other
"We have the check below mailed on 04/08 in transit. 04/08/20 272145 TTI, Inc. 11,241.24 9600 of the below is just becoming due this week and can be paid on a check run next week (04/22/2020)",Paid by Customer
"Sonja Chk #'s 2408 and 2404 paid 19718002, 19717201  duplicate So I should have a credit $ 3242.07 .apply it to invoice # 025045201 Invoice # 022132601 will be mailed today chk # 2415",Paid by Customer
Can you send me a copy of the following invoice: ARB001 022054201 PO1003936 11 $ 263.1 $ 263.1 2/6/2020 3/7/2020,Invoice Copy
 We sent out remittance details yesterday to Remittance.detail@ttiinc.com<mailto:Remittance.detail@ttiinc.com>. let me know if there's anything else I can help with.,Remittance
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
I will be out of the office the week of April 13th,Out of office
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
" This invoice was paid on 4/8/2020 with check number 29584. you,",Paid by Customer
"Phaedra, I am cutting checks today yours is for $6638.13 Have a blessed day. Carolyn",Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Invoice #028530101 and #029282801, check #1549 I sent it the day after #1548. It has been a while. Invoice #029770800, #030092601 and #031929901, I sent it last week. you. Christina (469) 274 1668 ",Paid by Customer
"Can you send me a copy of the invoice -Robin On 4/14/2020 10:15 AM, TTI Inc wrote: > ------------------------------------------------------------------------ > Accounts Payable , > Our records indicate that you currently have balances that are 10 days > or more past due. If you have not already done so, process your > payment today to bring your account current. We have attached a > statement of your account to assist you with your payment. > When issuing payment, include the invoice number on the payment > remittance advice. > Branch 	Account # 	Invoice# 	Amount 	Balance 	PO# 	Create Date 	Due > Date 	DPD (Internal) > OR 	ORP060 	030968601 	$ 7,165.8 	$ 7,165.8 	161611 	3/3/2020 > 4/2/2020 	12 > Total : *$ 7,165.8* > > Should you have any questions, we are available to discuss and answer > any invoice concerns. Our contact information is as follows:",Invoice Copy
"Attached are copies of remittance information that was emailed for payment for all of these invoices except for the Tariff charges and invoice 036972602. I am investigating why our system does not show we have received the products associated with invoice 036972602. I have an email stating that the tariff invoices do not need to be paid and that they are just for our records, is this not correct? Kelly Hartberg Accounting Clerk Direct: (307) 675-5051 Main: (307) 673-0883 <https://urldefense.proofpoint.com/v2/url?u=https-3A__emittechnologies.com_&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=HoQJnm_r7kPm4ZdlSA9KgHCwhEx4ccy3ryMuZJkxjuc&s=NtFOa0JdGcRgkc4lz1STIPLk8LzgGYiX6hfo8DsnBMw&e= >",Remittance
"Jeanette, Invoices 015351401, 024403901 and 020884401 are scheduled to be paid on Thursday, April 16, 2020. Stay well!",Promised
"Inv 032924901 & 034740401 were paid on 4/13/20. you. Diane Daly, Accounting Manager 503-364-9257 Ext. 301",Paid by Customer
you for your email.  EMG is closed due to the coronavirus and shelter in place orders.  We are hoping to be up and running on May 4th.  stay healthy and safe in this trying time.  Take care.,Other
"you for your email. Due to Covid-19 our office will be closed until 05/05/2020. Best Regards,",Other
I will take care of it.,Promised
"Jeanny, Payment update. Regards,",Paid by Customer
"Gabriela, We are mailing a check today for invoice 857392103.  reference our check #60311 in the amount of $12,207.02. you!",Promised
"Jeannette, We never received shipment, Checking in UPS website, shipment was returned to sender. Attached invoice and tracking information received ",Dispute
"Cynthia, I apologize for the delays with our account.  correspond with Rich Houseweart & Tim Anderson regarding the past due invoices, they are the owners.  I have included them on this email. Rich & Tim, communicate with Cynthia.",Other
"Alyson - I have responded a number of times.  stop sending me notifications about this particular invoice...Invoice 810944660 is not mine...even though you put my name on it. I have attached the last response I sent on who to contact...that would be Stephani Kottel, stephani.kottel@ngc.com<mailto:stephani.kottel@ngc.com> PATRICIA LAFFERTY   |   Principal Administration Generalist Northrop Grumman Corporation   |   Defense Systems 999 South Oyster Bay Road   |   Suite 220   |   Bethpage NY 11714 O: 516-575-3588   |   F: 844-298-5527   |   pat.lafferty@ngc.com<mailto:pat.lafferty@ngc.com>",Dispute
"you for contacting us. This is an automated response confirming receipt of your email inquiry.  A member of our Accounts Payable Team will get back to you within 3 to 5 business days. This will give us adequate time to completely research the issue and provide accurate responses. If your inquiry is pertaining to more than five invoices, attach a list in Excel format. If you DO NOT receive a response to your inquiry within 5 business days, call our AP Helpline at 1-800-285-2764 . note that this email address is for inquiries ONLY. The email address is no longer able to accept invoices/credit memos. As a reminder, our system will ONLY accept invoices in the following format, which are sent to the below inbox: invoicesubmitus@commscope.com<mailto:invoicesubmitus@commscope.com> Invoice(s) must be in PDF format; one PDF per invoice. Ensure that the PO number is clearly visible (if applicable) CommScope contact email address you in advance for your understanding and adherence to our process.",Auto Reply
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
Hello Check# 221330 is mailing out this evening. Sorry for the inconvenience and for your patience. Cassie First Source A/P Dept,Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Sherwood Manufacturing mailed check #17839 for $5,369.35 on April 8. Carol Meyer Bachman & Company CPA, PC 711 South Bowen Street, Suite A Longmont, CO  80501 303.776.3893 303.776.4968 (Fax)",Paid by Customer
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Requestor, you for contacting the Accounts Payable helpdesk. Your account has been set up to be ERS. An ERS is a procedure for settling goods receipts automatically. The system posts the invoice document automatically on the basis the data in the purchase order and goods receipts. ?Below listed are the open invoices in the account obtained based on the PO Numbers. Invoice  PO   Amount   AP Comments E4414460891-507  4414460891   978.75  Invoice scheduled for payment on Apr-27-2020 via Wire Should you have any further questions, feel free to contact us. Rani Date and Time Sent: 2020-04-13 18:03:59 Email From: creditar@ttiinc.com Email To: acsamericasapinquiry@honeywell.com Email Title: Past Due Statement - MXH023 Email Content: AP Dept , Our records indicate that you currently have balances that are 10 days or more past due. If you have not already done so, process your payment today to bring your account current. We have attached a statement of your account to assist you with your payment. When issuing payment, include the invoice number on the payment remittance advice. Invoice# Warehouse Account # Amount Open Value PO# SO# Create Date Due Date DPD (Internal) Balance 774615501  02  MXH023  $ 1,500.4  1227.60  4413460854  7746155  2/19/2019  6/19/2019  299  $ 1,227.6 811861601  09  MXH023  $ 489.6  163.20  4413920723  8118616  6/21/2019  10/19/2019  177  $ 163.2 862479301  TX  MXH023  $ 1,305  978.75  4414460891  8624793  10/18/2019  2/15/2020  58  $ 978.75 867915100  TX  MXH023  $ 205.66  205.66  4100253428  8679151  11/4/2019  3/3/2020  41  $ 205.66 857199101  TX  MXH023  $ 435  326.25  4414412952  8571991  11/11/2019  3/10/2020  34  $ 326.25 869024601  09  MXH023  $ 70  70.00  4414549443  8690246  11/13/2019  3/12/2020  32  $ 70 Total : $ 2,971.46 Should you have any questions, we are available to discuss and answer any invoice concerns. Our contact information is as follows:",Other
